case_id,title,category,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification_method
CASE-011,Wrong Default Router Option in DHCP Pool,DHCP,DHCP clients obtain IP address successfully but cannot browse outside local LAN.,"Clients get IP 192.168.60.10/24, Default Router option points to 192.168.60.254 (non-existent). Real gateway is 192.168.60.1.","{""show ip dhcp pool"": ""Pool Pool_60 :\n Default router : 192.168.60.254\n Domain Name : internal.corp\n DNS Server : 8.8.8.8"", ""show ip interface brief (R1)"": ""GigabitEthernet0/0/0.60 192.168.60.1 YES manual up up""}",DHCP pool option default-router is set to 192.168.60.254 instead of 192.168.60.1.,Layer 7,DHCP Options (Option 3),HIGH,show ip dhcp pool,"ip dhcp pool Pool_60
 default-router 192.168.60.1",ipconfig /all on client
CASE-012,Incorrect DNS Server IP Configured on Workstation,DNS,"Users can ping 8.8.8.8 by IP address, but browsing 'www.cisco.com' fails with Server Not Found.",Internal DNS server is 10.10.10.53. Client PC configured with 10.10.10.253.,"{""ipconfig /all"": ""IPv4 Address: 172.16.1.10\nDefault Gateway: 172.16.1.1\nDNS Servers: 10.10.10.253"", ""nslookup www.cisco.com"": ""DNS request timed out.\ntimeout was 2 seconds.\n*** Can't find server name for address 10.10.10.253: Timed out""}",Client DNS server setting is pointing to invalid IP 10.10.10.253 instead of 10.10.10.53.,Layer 7,DNS Client Configuration,MEDIUM,nslookup www.cisco.com 10.10.10.53,Change client DNS server configuration to 10.10.10.53.,nslookup www.cisco.com
CASE-013,DNS Server Unreachable Due to Missing Routing Table Entry,DNS,Branch office PCs cannot resolve internal domain names. Direct pings to DNS server 10.50.0.53 fail with Destination Host Unreachable.,Branch Router BR1 missing route to 10.50.0.0/16 corporate subnet.,"{""show ip route (BR1)"": ""Codes: C - connected, S - static\nGateway of last resort is not set\nC 192.168.100.0/24 is directly connected, Gi0/0/0"", ""nslookup server.corp.local"": "";; connection timed out; no servers could be reached""}",Branch router BR1 lacks a route to the corporate network 10.50.0.0/16 where DNS server resides.,Layer 3,DNS Routing Dependency,HIGH,show ip route 10.50.0.53,ip route 10.50.0.0 255.255.0.0 192.168.100.254,ping 10.50.0.53
CASE-014,Missing A Record on Packet Tracer DNS Server,DNS,Clients resolve 'fileserver.local' successfully but 'portal.local' fails to resolve.,Packet Tracer Server device acting as DNS server.,"{""nslookup portal.local 10.0.0.254"": ""*** 10.0.0.254 can't find portal.local: Non-existent domain"", ""Packet Tracer DNS Service Config"": ""DNS Service: ON\nRecord Table:\nName: fileserver.local Type: A Record Address: 10.0.0.10\n(portal.local record is missing)""}",DNS Server table is missing the A record mapping 'portal.local' to 10.0.0.20.,Layer 7,DNS Resource Records,LOW,nslookup portal.local,"Add A Record on DNS Server: Name: portal.local, Address: 10.0.0.20",nslookup portal.local
CASE-015,Missing Return Static Route for Remote LAN,Routing,"HQ PC (10.1.1.10) can ping ISP router interface, but remote site PC (192.168.80.10) pings to HQ fail.",HQ Router HQ-R1 has route to 192.168.80.0/24 via WAN. WAN Edge Router Edge-R1 missing return route to 192.168.80.0/24.,"{""show ip route (Edge-R1)"": ""Codes: C - connected, S - static\nGateway of last resort is 203.0.113.1\nC 10.1.1.0/24 is directly connected, Gi0/0/0\nC 203.0.113.0/30 is directly connected, Gi0/0/1\n(Route to 192.168.80.0/24 is MISSING)"", ""ping 192.168.80.10 (Edge-R1)"": ""Type escape sequence to abort.\nSending 5, 100-byte ICMP Echos to 192.168.80.10, timeout is 2 seconds:\n.....\nSuccess rate is 0 percent (0/5)""}",Edge-R1 lacks return static route for remote LAN 192.168.80.0/24 back to HQ-R1 (10.1.1.2).,Layer 3,Asymmetric Routing / Missing Return Route,HIGH,show ip route 192.168.80.0,ip route 192.168.80.0 255.255.255.0 10.1.1.2,ping 192.168.80.10 from HQ PC
CASE-016,OSPF Area ID Mismatch Between Neighbor Routers,Routing,OSPF neighbor relationship fails to form between R1 and R2 over link 10.0.12.0/30.,R1 G0/0/0 (10.0.12.1/30) in OSPF Area 0. R2 G0/0/0 (10.0.12.2/30) in OSPF Area 1.,"{""show ip ospf neighbor (R1)"": ""(No OSPF neighbors listed)"", ""show ip ospf interface Gi0/0/0 (R1)"": ""Gi0/0/0 is up, line protocol is up\n Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST, Cost: 1\n Enabled by interface config, Area 0"", ""show ip ospf interface Gi0/0/0 (R2)"": ""Gi0/0/0 is up, line protocol is up\n Process ID 1, Router ID 2.2.2.2, Network Type BROADCAST, Cost: 1\n Enabled by interface config, Area 1""}",OSPF Area mismatch: R1 interface is in Area 0 while R2 interface is in Area 1.,Layer 3,OSPF Neighbor Adjacency Requirements,CRITICAL,show ip ospf interface Gi0/0/0,"router ospf 1
 no network 10.0.12.0 0.0.0.3 area 1
 network 10.0.12.0 0.0.0.3 area 0",show ip ospf neighbor
CASE-017,OSPF Passive Interface Configured on Inter-Router Link,Routing,"OSPF hello packets are suppressed on R1 G0/0/1, preventing neighbor formation with R3.",R1 connected to R3 on Gi0/0/1.,"{""show ip ospf interface Gi0/0/0"": ""Gi0/0/1 is up, line protocol is up\n Process ID 1, Router ID 1.1.1.1\n Suppressed hello enabled (Passive Interface)"", ""show running-config | section ospf"": ""router ospf 1\n passive-interface GigabitEthernet0/0/1""}",GigabitEthernet0/0/1 is incorrectly configured as a passive interface under OSPF process 1.,Layer 3,OSPF Passive Interface,HIGH,show running-config | section ospf,"router ospf 1
 no passive-interface GigabitEthernet0/0/1",show ip ospf neighbor
CASE-018,Static Route Next-Hop IP Mismatch,Routing,Static route on Branch router points to non-existent next-hop address 172.16.0.25.,Point-to-point link between BR1 (172.16.0.1/30) and HQ1 (172.16.0.2/30).,"{""show running-config | include ip route"": ""ip route 0.0.0.0 0.0.0.0 172.16.0.25"", ""show ip route"": ""Gateway of last resort is not set\nS* 0.0.0.0/0 [1/0] via 172.16.0.25 (inactive/unreachable)""}",Static default route points to incorrect next-hop IP 172.16.0.25 instead of 172.16.0.2.,Layer 3,Static Route Next-Hop Resolution,CRITICAL,show ip route,"no ip route 0.0.0.0 0.0.0.0 172.16.0.25
ip route 0.0.0.0 0.0.0.0 172.16.0.2",ping 172.16.0.2
CASE-019,RIPv2 Auto-Summarization Causing Discontiguous Subnet Drop,Routing,Subnet 10.1.2.0/24 traffic is randomly dropped across RIPv2 network.,R1 and R2 running RIPv2 with discontiguous 10.0.0.0 subnets separated by 172.16.1.0/24 link.,"{""show ip protocols"": ""Routing Protocol is rip\n Automatic network summarization is in effect\n Maximum path: 4"", ""show ip route rip"": ""R 10.0.0.0/8 [120/1] via 172.16.1.2 (Summarized classful network)""}","RIPv2 auto-summary is enabled, summarizing discontiguous subnets to classful 10.0.0.0/8.",Layer 3,Classful vs Classless Routing Summarization,MEDIUM,show ip protocols,"router rip
 no auto-summary",show ip route rip
CASE-020,Extended ACL Implicit Deny Blocking HTTP Web Traffic,ACL,Users on 192.168.100.0/24 can ping Web Server 10.200.1.50 but cannot load http://10.200.1.50.,ACL 101 applied inbound on R1 G0/0/0.,"{""show access-lists 101"": ""Extended IP access list 101\n 10 permit icmp 192.168.100.0 0.0.0.255 host 10.200.1.50\n (implicit deny ip any any matches 42 packets)"", ""show running-config interface Gi0/0/0"": ""interface GigabitEthernet0/0/0\n ip access-group 101 in""}","ACL 101 only permits ICMP traffic, causing HTTP (TCP port 80/443) to hit the implicit deny.",Layer 4,ACL Filtering Rules & Implicit Deny,HIGH,show access-lists 101,"ip access-list extended 101
 15 permit tcp 192.168.100.0 0.0.0.255 host 10.200.1.50 eq 80
 16 permit tcp 192.168.100.0 0.0.0.255 host 10.200.1.50 eq 443",curl/http test to 10.200.1.50
CASE-021,Standard ACL Applied Inbound on Wrong Interface,ACL,Standard ACL 10 intended to block PC4 (192.168.1.50) blocks ALL traffic entering R1 from LAN.,"Standard ACL 10 (deny 192.168.1.50, permit any) applied IN on G0/0/0 instead of closest to destination.","{""show access-lists 10"": ""Standard IP access list 10\n 10 deny 192.168.1.50\n 20 permit any"", ""show running-config interface Gi0/0/0"": ""interface GigabitEthernet0/0/0\n ip access-group 10 in""}",Standard ACL placed inbound on source interface blocks local routing before evaluation.,Layer 3,ACL Placement Rules (Standard vs Extended),HIGH,show ip interface Gi0/0/0,"interface Gi0/0/0
 no ip access-group 10 in
interface Gi0/0/1
 ip access-group 10 out",ping from 192.168.1.51
CASE-022,ACL Inbound vs Outbound Direction Misconfiguration,ACL,"Traffic from Guest VLAN 99 is supposed to be blocked from entering Corporate Server LAN, but passes freely.",ACL GUEST_BLOCK configured with deny rules for Guest source IP.,"{""show ip interface Gi0/0/0.99"": ""Inbound access list is not set\nOutbound access list is GUEST_BLOCK"", ""show access-lists GUEST_BLOCK"": ""Extended IP access list GUEST_BLOCK\n 10 deny ip 192.168.99.0 0.0.0.255 10.0.0.0 0.255.255.255\n 20 permit ip any any""}",ACL GUEST_BLOCK is applied OUTBOUND on subinterface Gi0/0/0.99 instead of INBOUND.,Layer 3,ACL Interface Direction (IN vs OUT),HIGH,show ip interface Gi0/0/0.99,"interface Gi0/0/0.99
 no ip access-group GUEST_BLOCK out
 ip access-group GUEST_BLOCK in",ping 10.0.0.10 from Guest PC
CASE-023,ACL Wildcard Mask Error Permitting Unintended Subnets,ACL,Security audit reveals host 192.168.2.10 can access Restricted Server 10.10.10.10 despite ACL rule.,ACL line intended for 192.168.1.0/24 used wildcard mask 0.0.3.255 instead of 0.0.0.255.,"{""show access-lists 50"": ""Standard IP access list 50\n 10 permit 192.168.1.0 0.0.3.255 (matches 192.168.0.0 - 192.168.3.255!)""}","Wildcard mask 0.0.3.255 is too broad, permitting subnets 192.168.0.0/24 through 192.168.3.255.",Layer 3,ACL Wildcard Mask Calculation,MEDIUM,show access-lists 50,access-list 50 permit 192.168.1.0 0.0.0.255,ping 10.10.10.10 from 192.168.2.10
CASE-024,Missing IP NAT Inside Designation on LAN Interface,NAT,Internal hosts (192.168.1.0/24) fail to reach Internet web servers. Packet captures show source IP is not translated.,Router R1 handles NAT overload. Outside interface Gi0/0/1 has 'ip nat outside'. Inside interface Gi0/0/0 lacks 'ip nat inside'.,"{""show ip nat translations"": ""(Table is completely empty)"", ""show ip interface Gi0/0/0"": ""GigabitEthernet0/0/0 is up, line protocol is up\n Internet address is 192.168.1.1/24\n Useful info: NAT is disabled on this interface""}",LAN interface GigabitEthernet0/0/0 is missing the 'ip nat inside' command.,Layer 3,NAT Interface Association,CRITICAL,show ip interface Gi0/0/0,"interface GigabitEthernet0/0/0
 ip nat inside",show ip nat translations
CASE-025,NAT Overload ACL Mismatched Network Subnet,NAT,Subnet 192.168.20.0/24 hosts cannot access Internet while 192.168.10.0/24 hosts work fine.,NAT overload configured with 'ip nat inside source list 1 interface Gi0/0/1 overload'.,"{""show access-lists 1"": ""Standard IP access list 1\n 10 permit 192.168.10.0 0.0.0.255"", ""show running-config | include ip nat"": ""ip nat inside source list 1 interface GigabitEthernet0/0/1 overload""}",NAT ACL 1 only includes 192.168.10.0/24 and omits 192.168.20.0/24.,Layer 3,PAT / NAT Overload Access List,HIGH,show access-lists 1,access-list 1 permit 192.168.20.0 0.0.0.255,ping 8.8.8.8 from 192.168.20.10
CASE-026,Static NAT Mapped to Incorrect Internal Private IP,NAT,External clients attempting to access public web server at 203.0.113.10 receive Connection Refused.,Internal DMZ Web Server real IP is 172.16.100.50.,"{""show ip nat translations"": ""Pro Inside global Inside local Outside local Outside global\ntcp 203.0.113.10:80 172.16.100.5:80 --- ---"", ""show running-config | include ip nat static"": ""ip nat inside source static tcp 172.16.100.5 80 203.0.113.10 80 extendable""}",Static NAT entry maps public IP to 172.16.100.5 instead of real server IP 172.16.100.50.,Layer 3,Static NAT / Port Forwarding,HIGH,show ip nat translations,"no ip nat inside source static tcp 172.16.100.5 80 203.0.113.10 80
ip nat inside source static tcp 172.16.100.50 80 203.0.113.10 80",curl http://203.0.113.10 from external client
CASE-027,WPA2 Pre-Shared Key Mismatch on Laptop Wireless Adapter,Wireless,Laptop fails to associate with Wireless Access Point 'Corp_WiFi'. Status displays 'Authenticating... Failed'.,AP configured with WPA2-PSK key 'SecretPass123!'. Laptop profile saved key 'Secretpass123!'.,"{""Wireless Client Status"": ""SSID: Corp_WiFi\nSecurity: WPA2-Personal (PSK)\nEncryption: AES\nStatus: Disconnected (Authentication Failure)"", ""AP Wireless Configuration"": ""SSID: Corp_WiFi\nAuth Type: WPA2-PSK\nPre-Shared Key: SecretPass123!""}",Pre-shared key case sensitivity mismatch ('Secretpass123!' vs 'SecretPass123!').,Layer 2,WPA2-PSK Authentication,MEDIUM,Inspect wireless client profile key,Update Laptop wireless profile security key to 'SecretPass123!'.,Check Wireless Client Association Status
CASE-028,Hidden SSID Broadcast & Case Sensitivity Typo,Wireless,Wireless tablet cannot scan or auto-connect to corporate network.,AP configured with SSID 'Corporate_Wi-Fi' with Broadcast SSID disabled. Tablet typed 'Corporate_Wifi'.,"{""AP Wireless Config"": ""SSID: Corporate_Wi-Fi\nBroadcast SSID: Disabled\nBand: 2.4GHz / 5GHz"", ""Tablet Client Profile"": ""Configured Network Name: Corporate_Wifi""}",SSID name mismatch ('Corporate_Wifi' vs 'Corporate_Wi-Fi') combined with disabled SSID broadcast.,Layer 2,SSID Broadcast & Name Matching,LOW,Verify exact SSID spelling on AP,Change tablet profile network name to exact string 'Corporate_Wi-Fi'.,ping default gateway from wireless tablet
CASE-029,Access Point Switch Port Native VLAN Mismatch,Wireless,Autonomous AP boots up but fails to obtain IP address from Management VLAN 10.,AP expects Management traffic untagged on Native VLAN 10. Switch port Fa0/5 native VLAN is 1.,"{""show interfaces FastEthernet0/5 switchport"": ""Name: Fa0/5\nMode: trunk\nTrunking Native Mode VLAN: 1 (default)"", ""AP Console Output"": ""%DHCP-4-DHCP_FAILED: DHCP discovery failed on BVI1""}",Switch port connected to AP has native VLAN set to 1 instead of Management VLAN 10.,Layer 2,AP Management Native VLAN,HIGH,show interfaces Fa0/5 switchport,"interface Fa0/5
 switchport trunk native vlan 10",ping AP Management IP
CASE-030,Wireless Controller Option 43 Missing for Lightweight AP Join,Wireless,"Lightweight Access Points (LAP1, LAP2) remain in a continuous reboot join loop.",LAPs in VLAN 50 require DHCP Option 43 to locate Wireless LAN Controller (WLC) IP 10.100.1.10.,"{""LAP Console Log"": ""*Mar 1 00:02:15.000: %CAPWAP-3-ERRORLOG: Did not get WLC IP from DHCP Option 43.\n*Mar 1 00:02:20.000: %CAPWAP-3-ERRORLOG: Discovery failed. Retrying..."", ""show ip dhcp pool Pool_VLAN50"": ""Pool Pool_VLAN50 :\n Utilization : 12%\n Subnet size : 254\n Option 43 : MISSING""}",DHCP Pool Pool_VLAN50 lacks Option 43 specifying WLC IP address 10.100.1.10.,Layer 7,CAPWAP / Option 43 AP Discovery,CRITICAL,show ip dhcp pool Pool_VLAN50,"ip dhcp pool Pool_VLAN50
 option 43 hex f1040a64010a",show ap summary on WLC
